song_id,recommender_id,song_artist,song_title,year,youtube_link,wav_file
1,1,Anzenchitai,I Love You Kara Hajimeyou,1988,https://www.youtube.com/watch?v=s17H-b4vtyY&list=RDs17H-b4vtyY&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//1.wav
2,1,Aimyon,rhythm 64,2024,https://www.youtube.com/watch?v=C_E2kLO4Zag&list=RDC_E2kLO4Zag&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//2.wav
3,1,Rod Stewart,Downtown train,1989,https://www.youtube.com/watch?v=GysKYRYnui8&list=RDGysKYRYnui8&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//3.wav
4,1,Yanzi Sun,克卜勒,2014,https://www.youtube.com/watch?v=ppvqjPkQ0BY&list=RDppvqjPkQ0BY&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//4.wav
5,1,Koji Tamaki,Melody,1996,https://www.youtube.com/watch?v=fkBwXH6JLmA&list=RDfkBwXH6JLmA&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//5.wav
6,2,Starset,It Has Begun,2014,https://www.youtube.com/watch?v=XZp3Mtn-YsI&list=RDXZp3Mtn-YsI&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//6.wav
7,2,The Fray,How to Save a Life,2005,https://www.youtube.com/watch?v=cjVQ36NhbMk&list=RDcjVQ36NhbMk&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//7.wav
8,2,Mumford and Sons,Little Lion Man,2009,https://www.youtube.com/watch?v=5qDusitZ9EU&list=RD5qDusitZ9EU&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//8.wav
9,2,Poor Man's Poison,Providence,2014,https://www.youtube.com/watch?v=UWnE9sCJEgw&list=RDUWnE9sCJEgw&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//9.wav
10,3,Half Alive,Automatic,2024,https://www.youtube.com/watch?v=LMknL58AAyY&list=RDLMknL58AAyY&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//10.wav
11,3,Francis and the Lights,See her out,2016,https://www.youtube.com/watch?v=4Cc1R1QSPuE&list=RD4Cc1R1QSPuE&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//11.wav
12,3,Holly Humberstone,Scarlett,2021,https://www.youtube.com/watch?v=982QP-10GcE&list=RD982QP-10GcE&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//12.wav
13,3,Fly by Midnight,Try,2024,https://www.youtube.com/watch?v=023znG53q_I&list=RD023znG53q_I&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//13.wav
14,3,Bleachers,I wanna get better,2014,https://www.youtube.com/watch?v=8twpQTna_9w&list=RD8twpQTna_9w&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//14.wav
15,4,The National,Fake Empire,2007,https://www.youtube.com/watch?v=8WRWno_c_W8&list=RD8WRWno_c_W8&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//15.wav
16,4,Hermanos Gutierrez,La Verdad,2022,https://www.youtube.com/watch?v=oMk4fVjrfwc&list=RDoMk4fVjrfwc&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//16.wav
17,4,The Who,Baba O'riley,1971,https://www.youtube.com/watch?v=x2KRpRMSu4g&list=RDx2KRpRMSu4g&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//17.wav
18,4,Sylvan Esso,Coffee,2014,https://www.youtube.com/watch?v=pUrQ0qka1JY&list=RDpUrQ0qka1JY&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//18.wav
19,4,Rogue Valley,The Wolves and the Ravens,2011,https://www.youtube.com/watch?v=wXi1_AcT2YI&list=RDwXi1_AcT2YI&start_radio=1,C:\Users\mirae\Documents\GitHub\culture_club_playlist\data\music//19.wav
